Designator,Mid X,Mid Y,Rotation,Layer
C101,54.3,-22.425,270.0,top
C102,55.8,-22.4,270.0,top
C201,79.7,-35.3,90.0,top
C202,78.2,-35.3,90.0,top
C203,76.7,-35.3,90.0,top
C301,21.5,-39.9,270.0,top
C302,23.0,-39.9,270.0,top
C303,25.3,-38.0,90.0,top
CN1001,66.914286,-51.1175,0.0,top
CN1101,73.471429,-51.1175,0.0,top
CN201,82.8,-36.7,270.0,top
CN301,18.4,-38.5,90.0,top
CN401,27.571429,-51.1175,0.0,top
CN501,34.128572,-51.1175,0.0,top
CN601,40.685715,-51.1175,0.0,top
CN701,47.242858,-51.1175,0.0,top
CN801,60.357143,-51.1175,0.0,top
CN901,53.8,-51.1175,0.0,top
D201,78.5,-38.6,90.0,top
D301,22.7,-36.6,270.0,top
J1,28.995,-21.0,0.0,top
R1,41.0,-23.5,90.0,top
R2,60.5,-31.0,0.0,top
R3,54.0,-31.0,0.0,top
R4,67.0,-31.0,0.0,top
R401,27.6,-34.2,90.0,top
R5,73.5,-31.0,0.0,top
R501,34.2,-34.2875,90.0,top
R6,36.5,-17.5,0.0,top
R601,40.6,-34.3,90.0,top
R7,36.5,-19.0,0.0,top
R701,47.4,-34.4125,90.0,top
R8,36.5,-20.5,0.0,top
U1001,67.0,-36.5,90.0,top
U101,50.4,-21.55,0.0,top
U1101,73.5,-36.5,90.0,top
U801,60.6,-36.5,90.0,top
U901,54.0,-36.5,90.0,top
