Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C309, C313",0603,3,10uF,
"C2, C3, C301, C302, C307, C504, C507",0603,7,100nF,
"C303, C503, C505, C506",0603,4,1uF,
C306,0603,1,10nF,
"C308, C312, C508",0603,3,4.7uF,
"C310, C311, C4, C5, C501, C502",C_Elec_5x5.8,6,22uF,C336246
"C314, C315",0603,2,330pF,
"C509, C510, C511, C512",0603,4,470nF,
"C513, C514, C515, C516",0603,4,680nF,
C6,0603,1,75pF,
"L501, L502, L503, L504",IND-SMD_L11.0-W10.2,4,SL1040-100M,C22463839
R1,0603,1,49.9,
R2,0603,1,100k,
R3,0603,1,13.3k,
R301,0603,1,1M,
"R302, R311, R312, R313, R502, R503, R504, R505",0603,8,10k,
R303,0603,1,162k,
R304,0603,1,37.4,
"R305, R308",0603,2,191k,
"R306, R307",0603,2,9.31k,
R309,0603,1,196k,
R310,0603,1,2.2k,
R501,0603,1,0,
U1,IND-SMD_L11.6-W10.1,1,CYA1040-15UH,C6364678
U201,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U301,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,1,TPD6S300A,
U302,Texas_REF0038A_WQFN-38-2EP_6x4mm_P0.4,1,TPS25730D,
U401,SOT-23-6,1,TPS54202DDC,
U501,VQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,TAS5825MRHB,
USBC301,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
